Text-ID	Sentence-ID	Text
BG_014	4	Ето какво се казва в изчетения текст от Гюров: Коалицията като отчита системата ерозия на върховенството на правото се дължи на корупцията по високите етажи на властта и липса на ефектива разследване от ПРБ; установява, че действията на главния прокурор се различават от добрите практики в Европа; като отчита системните препоръки на ЕС; като взе предвид препоръките и стандартите на Венецианската комисия, като отчита, че според индекса за възприятие на корупцията страната ни е едно от последните нива в ЕС, като отчита ниското доверие в Прокуратурата в България, като отчита избирателното активиране на ръководството на Прокуратурата; като обръща внимание на редица политически мотивирани изказвания на главния прокурор, като подчертава нарушаването на законови и професионални стандарти, като подчертава случаи на злоупотреба с власт; като подчертава, че главният прокурор не е защитил правата на гражданите на мирен протест; като отбелязва, че във ВСС е внесено мотивирано искате за освобождаване на главния прокурор; като има предвид, че в българската прокуратура работят специалисти, които не могат да се реализират; като отчита, че към настоящия момент липсват механизми за отговорност на главния прокурор, призовава главния прокурор Иван Гешев да подаде оставка като по този начин поеме отговорност за своите действия и даде възможност на ПРБ да осъществява функциите си.
BG_014	5	Цените на тока летят, бизнесът фалира, а българите са изправени пред зима с непосилни сметки, която може да е по-тежка от тази по времето на Жан Виденов.
BG_014	6	"Опит за кризисен ПР се готвят да предприемат от ""Продължаваме промяната"", научи ПИК от кулоарите на Народното събрание преди часове."
BG_014	7	"Притеснени от нарастващото недоволство срещу правителството на Кирил Петков, посъветвани от ПР-та на партийната формация Диана Дамянова, от ""Промяната"" се издадоха, че ще излязат с декларация с искане за оставката на главния прокурор."
BG_014	8	Обмисляло се декларацията да се представи от трибуната на парламента или да се внесе като нарочна точка в Комисията по конституционни и правни въпроси на Народното събрание.
BG_014	9	"Дамянова, която в миналото беше ПР на представителя на ""Лукойл"" за България Валентин Златев, посъветвала Кирил Петков да се конфронтира с Гешев, за да се отклони общественото внимание от увеличаващите се кризи."
BG_014	10	"""Продължаваме промяната"" били в безизходица по въпроса със ""зеления сертификат"" и невиждания ръст на болните от коронавирус."
BG_014	11	Липсата на бюджет за 2022 година щяла да се усети много скоро, а и управляващите нямали визия какви ще са политиките в бъдещия бюджет.
BG_014	12	Още по-голям проблем се очаквал в следващите седмици с цените на тока и парното.
BG_014	13	"От прокуратурата отказаха да коментират разкритието на ПИК, за което получихме потвърждение освен от ""Продължаваме промяната"", но и от ""Демократична България""."
BG_020	1	ГЕРБ търсят миротворец за президент, готови са и с хората на Слави да управляват
BG_020	2	ГЕРБ са бави с издигането на кандидата за президент, защото искаме да намерим най-добрия вариант, който едновременно да е избираем и в същото време, ако заеме поста, да може да реши политическата криза, а не да я задълбочи.
BG_020	3	Това каза в Здравей, България“ по Нова телевизия депутатът Тома Биков.
BG_020	4	Искаме да излъчим кандидатура за президент, която е алтернатива на Румен Радев.
BG_020	5	Няма да излъчваме силов човек, който да се саморазправи с нашите опоненти.
BG_020	6	Искаме да излъчим човек, който от ден първи да проведе разговор с нашите най-големи политически опоненти и да се опитаме да видим дали можем да намерим по някакви важни за България точки.
BG_020	7	Има няколко варианта за такъв човек”, добави той.
BG_020	8	Името на Петър Стоянов за кандидат за президент се появи вчера след мое участие в БНР.
BG_020	9	На въпрос какво мисля за него, аз казах какво мисля това е най-успешният български президент до момента, човек който е извадил страната от ръба на гражданска война.
BG_020	10	Това казвам и сега”, коментира Биков.
BG_020	11	Преди всички президентски избори след 2001 г. името на Стоянов винаги е част от обсъжданията на десницата.
BG_020	12	Включително и в момента.
BG_020	13	Това име се върти в общественото пространство.
BG_020	14	Нормално е всеки, който е загрижен за това да даде алтернатива на Румен Радев, да обсъжда и кандидатурата на Петър Стоянов”, добави той.
BG_020	15	Вариантът Бойко Борисов да е кандидат се обсъжда на всички президентски избори.
BG_020	16	В момента той се занимава с партията“, подчерта бургазлията.
BG_020	17	Кандидатурата на Борисов би била най-лесния вариант да си мобилизираме привържениците.
BG_020	18	После обаче ще трябва да решаваме кой да поеме партията.
BG_020	19	Той има още малко време с ГЕРБ, а президентски избори ще има и след тези.
BG_020	20	Може да изкара и още един мандат като министър-председател“, подчерта той.
BG_020	21	Ситуацията след изборите ще е по-сложна, отколкото в момента.
BG_020	22	Такава е тенденцията.
BG_020	23	На 4 април беше сравнително лесно, защото всички бяха против ГЕРБ.
BG_020	24	Сега всички са срещу всички.
BG_020	25	След 14 ноември може пак всички да са срещу всички, но да има и нови играчи, които тепърва ще опознаваме“, заяви Биков.
BG_020	26	На въпроса дали може ГЕРБ и Има такъв народ“ да ни управляват след изборите той отговори, че всичко би могло да се случи.
BG_020	27	Ако участваме в такива преговори, съм убеден, че ще минат по коронно различен начин от това, което видяхме последните два пъти.
BG_020	28	Нито ще ги обиждаме, нито ще си губим времето с общи приказки за съдебна реформа, която никой не знае каква ще бъде.
BG_020	29	Това бяха преговорите“, каза още депутатът.
BG_025	1	Депутатите решиха:
BG_025	2	Машинното гласуване отпада само за местни избори
BG_025	3	Машинно гласуване няма да има само на местни избори.
BG_025	4	Това приеха окончателно депутатите при гласуването на второ четене на противоречивите промени в Изборния кодекс.
BG_025	5	Първоначалният проект на ГЕРБ предвиждаше вот с устройства да има едиствено на президентски и евроизбори, но преди ден от партията на премиера Бойко Борисов дадоха крачка назад
BG_025	6	-
BG_025	7	Единствено депутатите от БСП бяха против ограничаването на машинния вот.
BG_025	8	До последно те настояваха да има устройства на всички видове избори.
BG_025	9	ДПС, които също бяха срещу премахването, преди ден останаха доволни от отстъпката на ГЕРБ и я подкрепиха при окончателното гласуване в пленарната зала .Оправдаха решението си да подкрепят ограничаването с това, че отпадането на машините само за местни избори е крачка напред от първоначалната идея.
BG_025	10	Социалистите обвиниха ГЕРБ, че се опитва да си осигури служебна победа на местния вот.
BG_025	11	"""Започнахте с единия лев, сега отиваме и към машинното гласуване."
BG_025	12	Това е вашата същност.
BG_025	13	"Вие преразпределяте властта и искате чрез местната власт да гарантирате победата си на предстоящите парламентарни избори"" , каза Драгомир Стойнев на управляващите по време на дебатите."
BG_025	14	От БСП за пореден път лансираха тезата, че именно на местни избори трябва да има устройства, за да се улеснят хората.
BG_025	15	Според ГЕРБ обаче ако има машинен вот наесен, ще се стигне до затруднения и дори може да опорочи изборния процес.
BG_025	16	Досега Изборният кодекс предвиждаше предстоящите местни избори да са последните с хартиени бюлетини, а от следващата година на всички избори да се гласува само машинно.
BG_025	17	Наесен трябваше да има 6000 устройства за машинно гласуване.
BG_025	18	Тези текстове бяха приети преди пет месеца по предложение на ДПС и с подкрепата на ГЕРБ.
BG_025	19	Преди две седмици обаче партията на Борисов реши отново да променят текстовете и да премахната машинното гласуване при парламентарни и местни избори.
BG_025	20	Във вторник, по време на заседанието на правната комисия, от ГЕРБ решиха все пак да оставят устройствата при избори за депутати.
BG_025	21	Тогава решението беше обяснено с дебат в самата група на най-голямата партия.
BG_025	22	По време на дебатите в сряда бе представено друго обяснение: Съзнавайки отговорността, която имаме като най-голяма парламентарно представена политическа сила и като мандатоносител за провеждането на легитимни местни избори, допуснахме отстъпление от първоначалното предложение“, обясни председателят на парламентарната група на ГЕРБ Даниела Дариткова.
BG_025	23	Нови поправки в Изборния кодекс след местния вот.
BG_025	24	Още по време на заседанието на комисията ДПС остана доволна от отстъплението, но се закани да внесе поправки в Изборния кодекс след местния вот, за да бъде въведено машинно броене и на хартиените бюлетини.
BG_025	25	Ден по-късно ГЕРБ прегърна тази идея.
BG_025	26	“Ще направим всичко възможно да отворим отново Изборния кодекс след местните избори и да търсим решенията, гарантиращи прозрачен изборен процес преодоляващи несъвършенствата при машинния вот” , каза Дариткова.
BG_025	27	От думите ѝ се разбра, че най-голямата партия е готова на дебат по въпроса с въвеждането на машинно преброяване.
BG_025	28	"""Може да обсъдим темата за машинно преброяване или за коректно отчитане на изборните резултати."
BG_025	29	Ще отстраним всички проблеми, които във времето са се създали в Изборния кодекс.
BG_025	30	Той многократно е бил поправян, кърпен, за да се получи нещо, което в момента наистина трябва да преосмислим, преразгледаме, но в рамките на спокойна процедура след проведени местни избори, за които ние трябва да гарантираме протичане по начин, който да не доведе до безкрайно оспорване на резултата и до съмнение за тяхната легитимност” , добави тя.
BG_025	31	"След това Дариткова призова "" всички национално отговорни политически сили” да ""поемат протегнатата ръка“ на ГЕРБ."
BG_029	1	Съюзът на съдиите обвини ВСС в рушене на върховенството на закона
BG_029	2	Съюзът на съдиите в България (ССБ) отправи остри обвинения към Висшия съдебен съвет (ВСС) заради позицията, с която институцията се солидаризира с натиска върху магистратите по случая Полфрийман“, вместо да защити независимостта на съда.
BG_029	3	Преди ден Съдийската колегия на ВСС излезе с декларация по повод сигнал, внесен от ВМРО.
BG_029	4	В сигнала си националистическата партия настоява да се предприемат мерки срещу тримата съдии, освободили предсрочно от затвора осъдения за убийство Джок Полфрийман.
BG_029	5	В сигнала на ВМРО се казва, че съдебният състав, пуснал австралийския гражданин, не е бил безпристрастен и е уронил престижа на съдебната власт.
BG_029	6	ВСС отговори с позиция, че не може да се меси в решенията на съда, но отбелязва, че “споделя усещането на близките на (убития от Полфрийман) Андрей Монов за нарушен баланс между правото и справедливостта“.
BG_029	7	В съдебния състав на Софийския апелативен съд влизат съдиите Калин Калпакчиев, Весислава Иванова и Виолета Магдалинчева.
BG_029	8	Решението по случая “Полфрийман“ е взето единодушно.
BG_029	9	Съдия Калпакчиев е председател на Съюза на съдиите в България, съдия Весислава Иванова е член на организацията.
BG_029	10	Те станаха обект на брутална медийна атака и обект на редица политически изказвания.
BG_029	11	ВСС обаче застана на страната на тези, които атакуват съдебния състав.
BG_029	12	Сега цялото ръководство на Съюза на съдиите (без участието на Калин Калпакчиев) обвинява на свой ред ВСС, че не изпълнява основното си задължение да брани независимостта на съда.
BG_029	13	“Не само че не изпълнявате това си основно задължение, но се присъединявате към безпрецедентен политически и обществен натиск върху конкретен съдебен състав и съдебната власт като цяло, който безцеремонно експлоатира по различни причини и с различни цели, трагедията на едно българско семейство.
BG_029	14	По този начин Вие рушите основни устои на правовата държава - върховенството на закона и независимостта на съдебната власт“, се казва в позицията на най-голямата съдийска организация.
BG_029	15	ССБ напомня на съдебния съявет, че решението по всяко дело се постановява въз основа на закона и събраните по съответния процесуален ред доказателства.
BG_029	16	“В тази връзка недопустимо е точно членовете на ВСС да “споделят усещане за нарушен баланс между правото и справедливостта” относно конкретен съдебен акт, изразено от граждани, групи от граждани или политически партии.
BG_029	17	Редът за оспорване и отмяна на съдебни актове е точно и ясно посочен в закона“, казва Съюзът на съдиите.
BG_029	18	Организацията казва, че дебатът по съдийските решения е желан в едно демократично общество, но “личните нападки и заплахи към съдията или съдебния състав, постановил съответния съдебен акт, включително и за физическа саморазправа, са абсолютно недопустими“.
BG_029	19	“Именно в такива случаи съдията трябва да получи безапелационна и твърда подкрепа от призваната по закон да стори това институция Висшия съдебен съвет, тъй като само по този начин се утвърждава върховенството на закона и независимостта на съда“, казва организацията.
BG_029	20	ССБ казва, че вместо защита, българският съдия получава от ВСС знак, че “ако не постановява решенията си в унисон с общественото мнение и желанията на политически партии и конкретни техни лидери, ще бъде обругаван, охулван, физически преследван и малтретиран, а единствената реакция на СК на ВСС ще бъде съдействие за дисциплинарното му преследване“.
BG_029	21	Организация казва на членовете на Съдийската колегия, че ако не могат да си изпъляват основните задължения по закон, то винаги могат да си подадат оставката.
BG_034	1	БСП обвини АПИ в протакане на независимата експертиза на пътищата и се...
BG_034	2	Работата на председателя на УС на АПИ е да ремонтира и строи безопасни пътища и да въвежда тол системата, а не да влиза в политически заигравки.
BG_034	3	Това каза зам.-председателят на ПГ на „БСП за България“ Георги Свиленски по време на пресконференция в централата на партията, предаде репортер на Агенция „Фокус“ .
BG_034	4	Свиленски посочи, че председателят на УС на АПИ нееднократно се занимава с политически заигравки.
BG_034	5	„Последните два дни виждаме един опит от представителите на Агенция „Пътна инфраструктура“ съответно и колегите народни представители от ГЕРБ за поредно прикривина или приключване на случая с исканата от нас проверка“, каза Свиленски.
BG_034	6	Той даде хронологията на инициативата на БСП. „2 ноември 2018 г. повече от половината парламентарна група на „БСП за България“, да не кажа цялата, се подписва под искане за даване на разрешение за независима експертиза от независима европейска лаборатория от АПИ.
BG_034	7	Така би трябвало да бъде“, каза още Свиленски.
BG_034	8	Той допълни, че отговорът е даден от страна на АПИ на 4 декември, в което казват да се посочат пътните експерти на партията и да се даде името на лабораториите ,за да влезе в контакт с тях, за да се реши какво да се прави.
BG_034	9	„Елена Йончева каза преди малко.
BG_034	10	Ако на 4 декември предоставим експертите, имената на тези хора и лабораториите, нали никой от нас няма съмнение на какъв натиск и на какво ще бъдат подложени и какви методи ще бъдат използвани спрямо тях, за да се извърши тази проверка.
BG_034	11	Ние искаме разрешението, след това веднага го предоставяме на независимата европейска лаборатория, тя извършва анализите, сравнява с проектите, каквито са били и излиза пред вас и казва: „уважаеми български граждани, пътищата са проектирани по този начин, изпълнени са по този начин, в момента са в това състояние – вие преценете, има ли нарушение“.
BG_034	12	Продължавам нататък – 15 март изпращаме писмо, в което конкретизираме участъците, тъй като в предишното писмо казват да ги конкретизираме.
BG_034	13	Казваме, добре, нека да знаят къде са сбъркали.
BG_034	14	Даваме им 46 точки от българските магистрали, които според нас има проблем.
BG_034	15	Това се случва на 15 март, на 2 май получаваме писмо от председателя на УС на АПИ, в което казва: „Предвид големият брой участъци, за които се иска предоставяне на документацията, както и предвид факта, че част от посочените в списъка отсечки – „Хемус“, „Тракия“ са изградени през 80-те години на 20 век, но са ремонтирани допреди 5 години, е необходимо допълнително време за подготовка и систематизиране на исканата документация за всички изброени в списъка участъци.
BG_034	16	С оглед гореизложеното, е необходимо допълнително време за предоставяната на вас информация“.
BG_034	17	Ние буквално го възприемаме като нормален отговор.
BG_034	18	Още време им трябва – те още не са наясно какво да правят“, каза още Свиленски.
BG_034	19	Заместник-председателят на ПГ на „БСП за България“ посочи, че на 13 май председателя на УС взема решение, с което предоставя пълен достъп до исканата обществена информация, налична в АПИ.
BG_034	20	По думите му обаче народните представители могат да се запознаят с нея в архива на АПИ.
BG_034	21	„Ние искаме разрешение за извършване на експертиза и след като бъде извършена тя, тогава искаме документацията, но не в архива на АПИ, а предаден по надлежния ред като народни представители“, посочи още Свиленски.
BG_034	22	Той подчерта, че в чл. 141 от Правилника за дейността и работата на Народното събрание, който има силата на закон казва, че държавните и местни органи, и техните администрация са длъжни да оказват съдействие на народния представител и да предоставят сведения по документи във връзка с изпълненията на правомощията.
